,Florida,California,Texas,New York,Massachusetts,New Jersey,Arizona,Colorado,Missouri
2002-05-01,132245.8388925858,251857.72148026593,120120.00194550928,186146.9076943105,273230.85067768395,218515.07666688148,154680.27979790594,224315.50102289452,117189.3625797848
2002-06-01,133370.79504981622,254956.24395791147,120638.34353027045,187522.68659425,275855.3611710845,220726.77233393522,155360.84072993038,225095.49424443286,117809.08433612874
2002-07-01,134516.1063338121,258540.8858608956,121165.23212862534,189000.5155038579,278823.8667670654,223210.42248344925,156097.2320580939,225852.88438230404,118481.81454815721
2002-08-01,135740.10801261428,262399.64870985417,121722.0239808759,190650.6841155182,281974.2939122733,226242.24286535746,156935.03390180293,226388.50995607965,119101.33690799109
2002-09-01,136951.05543545258,266298.13246024656,122212.74949349766,192350.8883458242,285447.43390833616,229610.5088984788,157658.85022800622,226946.91598697836,119732.1762849072
2002-10-01,138160.41490568526,269997.6926709259,122633.86985756543,194046.00472758673,289451.2404763081,233153.03782201314,158385.51896179098,227505.55065228228,120410.95990006288
2002-11-01,139309.29135776454,273622.26409813156,122992.30019008758,195693.13864585487,293659.1658489389,236423.53208657124,159042.2815156512,228031.7380947014,121113.85365675263
2002-12-01,140553.97930216868,277196.4497653953,123297.69458659616,197398.749358717,297676.1881033653,239479.19243073056,159768.10647192618,228319.43002637735,121754.77052573807
2003-01-01,141781.01263111606,280354.6479555952,123531.86391729959,199064.73012374504,300921.7708870782,242404.47312496204,160446.69326953424,228414.87299420647,122308.43232954449
2003-02-01,143041.9629001594,283299.07497542334,123686.42030140129,200685.54161097584,303903.567028705,245240.87761118598,161167.30655998283,228468.19213358275,122856.23514344275
2003-03-01,144335.01517697267,286417.9739335113,123861.12403607175,202415.20467562473,306871.1652628687,247999.18523574792,161830.10837923965,228760.3455039345,123389.47341120493
2003-04-01,145775.66369102115,290043.2593506113,124066.0530837357,204119.42038879267,310089.07555863756,250734.96071154985,162566.63297921556,229116.23440207273,123929.33414649275
2003-05-01,147297.37884753328,294069.3824176254,124298.55252762271,205863.42994528552,313314.5338904669,253588.1389699822,163327.38477143503,229384.93045339562,124530.14920055924
2003-06-01,148807.26526453937,297793.42114334786,124532.85564393287,207593.02636242742,316246.196120298,256664.49960810065,164168.5104675505,229517.68394469447,125211.00280844381
2003-07-01,150302.1008254485,301725.10105119675,124763.89703518168,209407.4450508999,318666.10542705515,259932.03663174124,165041.6150485724,229663.42911181957,125916.2855465249
2003-08-01,151830.51235554137,305865.9967312481,125032.48864859679,211467.3400779195,320973.6227213353,263344.69292451645,165980.12540424892,229865.72758353633,126616.41586054995
2003-09-01,153417.195831045,310466.02055885195,125276.11257785223,213697.6148889951,323500.8501603985,266575.541467837,167027.7013960732,230130.27197307764,127308.18385840523
